tarih,pres_no,kontrol_saati,urun,lot_no,urun_alinan_tank_no,sikim_brix,sikim_ph,sikim_asitlik,posa_kontrol_saati,posa_brix,posa_nem_pct,pulp_pct,giris_pulp,notlar
2026-08-31,1,10:30,ELMA,,1,8.82,3.69,2.84,,,,,,
2026-08-31,,10:40,ELMA,,1,10.06,,,,,,,,
2026-08-31,1,10:55,ELMA,,1,10.3,3.66,3.26,,,,,,
2026-08-31,1,11:15,ELMA,,1,10.9,3.65,3.09,12:28,1.2,67.84,,,
2026-08-31,2,11:45,ELMA,,3,8.69,3.71,3.2,,,,,,
2026-08-31,2,12:05,ELMA,,3,10.2,3.65,3.18,13:24,0.8,69.36,,,
2026-08-31,1,12:38,ELMA,,1,10.78,3.62,3.59,14:15,2.22,69.06,,,Giris pulp 0.2-0.5
2026-08-31,2,14:14,ELMA,,3,10.17,3.6,3.48,15:00,1.98,68.44,,,
2026-08-31,1,14:30,ELMA,,1,9.2,3.62,3.51,,,,,,
2026-08-31,2,15:20,ELMA,,3,9.7,3.63,3.13,15:30,3.34,63.03,,,
2026-08-31,1,15:43,ELMA,,1,10.12,3.66,3.22,17:17,5.28,66.02,,,
2026-08-31,1,16:40,ELMA,,1,9.33,,,,,,,,
2026-08-31,2,16:40,ELMA,,3,5.61,,,17:12,1.68,63.94,,,
2026-09-03,1,10:00,ELMA,,1,11.25,3.92,3.28,11:13,2,72.87,,,
2026-09-03,1,10:24,ELMA,,1,11.82,,,,,,,,
2026-09-03,1,11:40,ELMA,,1,12.57,3.94,2.98,13:55,3.52,71.35,,,
2026-09-03,2,12:18,ELMA,,3,14.88,4.21,1.83,13:55,4.32,72.41,,,
2026-09-03,2,13:28,ELMA,,3,4.44,,,,,,,,
2026-09-03,2,13:57,ELMA,,3,16.21,4.2,1.8,15:50,4.82,70.8,,,
2026-09-03,1,15:05,ELMA,,2,13.21,,,15:50,3.08,71.15,,,
2026-09-03,1,15:53,ELMA,,2,11.91,3.77,3.32,,,,,,
2026-09-03,2,16:13,ELMA,,3,11.28,3.65,4.46,22:15,2.98,64.83,,,
2026-09-03,1,16:19,ELMA,,2,11.47,,,17:35,3.28,71.63,,,
2026-09-03,2,16:55,ELMA,,3,11.33,,,17:40,2.52,68.57,,,
2026-09-03,1,18:02,ELMA,,2,10.52,,,19:00,1.3,70.12,,,
2026-09-04,1,11:07,ELMA,,1,8.65,3.71,,,,,,,
2026-09-04,2,11:07,ELMA,,3,13.97,4.03,2.5,12:40,2.04,69.66,,,
2026-09-04,1,11:35,ELMA,,1,10.47,3.68,3.22,12:45,1.46,61.47,,,
2026-09-04,1,12:54,ELMA,,1,11.14,3.65,3.39,14:15,1.9,67.63,,,
2026-09-04,2,13:01,ELMA,,3,13.75,4.01,2.45,14:20,3.3,68.73,,,
2026-09-04,1,14:30,ELMA,,2,11.59,3.88,2.73,16:31,2.38,72.16,,,
2026-09-04,2,14:55,ELMA,,3,11.02,3.77,,16:31,2.96,67.2,,,
2026-09-04,1,16:49,ELMA,,1,9.82,3.58,3.43,18:15,4.62,66.12,,,
2026-09-04,2,16:49,ELMA,,3,10.85,3.76,3.47,18:15,1.8,82.72,,,
